drifted,expected,type,bert_correct,bert_result,bert_latency_ms,leven_correct,leven_result,leven_latency_ms,regex_correct,regex_result,regex_latency_ms
sig_0x3F_lat,g_force_lateral,Obfuscated,False,coolant_temperature_c,11.409364,True,g_force_lateral,0.358442,False,unknown,0.069986
sys_clutch_val,clutch_position,Obfuscated,True,clutch_position,10.819836,True,clutch_position,0.425725,True,clutch_position,0.055151
ch12_analog_psi,oil_pressure_psi,Obfuscated,True,oil_pressure_psi,10.99997,False,ecu_canbus,0.455521,False,unknown,0.075522
pid_0x0C_rev,rpm,Obfuscated,False,brake_pressure_rear,11.282147,False,heart_rate,0.343046,True,rpm,0.065408
ecu_raw_0xA1,ecu_canbus,Obfuscated,True,ecu_canbus,12.289686,True,ecu_canbus,0.435026,True,ecu_canbus,0.081499
speed_mph,speed,Unit Variant,True,speed,9.326667,True,speed,0.353322,True,speed,0.054076
tyre_pressure_bar,tyre_pressure,Unit Variant,True,tyre_pressure,8.24886,True,tyre_pressure,0.502307,True,tyre_pressure,0.017856
oil_temp_fahrenheit,oil_temperature_c,Unit Variant,True,oil_temperature_c,9.686546,True,oil_temperature_c,0.578151,True,oil_temperature_c,0.048945
brake_temp_kelvin,brake_temp,Unit Variant,True,brake_temp,10.888196,True,brake_temp,0.472803,True,brake_temp,0.033063
coolant_temp_f,coolant_temperature_c,Unit Variant,True,coolant_temperature_c,11.424818,True,coolant_temperature_c,0.460025,True,coolant_temperature_c,0.050143
engine_temp_kelvin,engine_temp,Unit Variant,True,engine_temp,10.716439,True,engine_temp,0.47769,True,engine_temp,0.029724
lateral_force_g,g_force_lateral,Reorder,True,g_force_lateral,9.408765,False,oil_temperature_c,0.502611,True,g_force_lateral,0.047336
front_brake_pressure,brake_pressure_front,Reorder,True,brake_pressure_front,8.371076,False,brake_pressure_rear,0.551674,True,brake_pressure_front,0.024695
rear_brake_pressure,brake_pressure_rear,Reorder,True,brake_pressure_rear,8.438394,True,brake_pressure_rear,0.520554,True,brake_pressure_rear,0.028829
angle_steering,steering_angle,Reorder,True,steering_angle,8.208042,True,steering_angle,0.45656,True,steering_angle,0.044332
position_clutch,clutch_position,Reorder,True,clutch_position,8.366844,True,clutch_position,0.427975,True,clutch_position,0.050528
eng_vel_rev_min,rpm,Compound,False,clutch_position,9.340122,False,fuel_level_percent,0.491226,True,rpm,0.068378
brk_frnt_psi,brake_pressure_front,Compound,False,oil_pressure_psi,10.88743,False,brake_temp,0.446065,False,unknown,0.071732
lube_press_pounds,oil_pressure_psi,Compound,False,tyre_pressure,10.527867,True,oil_pressure_psi,0.498638,False,unknown,0.075751
aero_dwnfrc_kn,aero_load,Compound,True,aero_load,10.666272,True,aero_load,0.467669,True,aero_load,0.065462
cool_h2o_temp,coolant_temperature_c,Compound,True,coolant_temperature_c,10.718281,True,coolant_temperature_c,0.418708,False,unknown,0.074908
spid,speed,Typo,False,gear_engaged,9.27576,True,speed,0.23203,False,unknown,0.067161
rpm_val,rpm,Typo,True,rpm,8.056358,True,rpm,0.340981,True,rpm,0.057857
prs_tyr,tyre_pressure,Abbreviation,False,engine_temp,8.230081,False,brake_pressure_rear,0.354346,False,unknown,0.060814
v_max,speed,Abbreviation,False,tyre_pressure,7.826489,False,aero_load,0.30416,False,unknown,0.059224
combustion_heat,engine_temp,Synonym,True,engine_temp,8.325122,False,clutch_position,0.466204,False,unknown,0.065792
inertial_force,g_force_lateral,Synonym,True,g_force_lateral,8.536694,False,heart_rate,0.468493,False,unknown,0.063639
fluid_depth,fuel_level_percent,Synonym,False,oil_pressure_psi,8.116946,True,fuel_level_percent,0.418987,False,unknown,0.065793
telemetry.oil.temp,oil_temperature_c,Namespace,True,oil_temperature_c,15.019253,False,engine_temp,0.611314,False,unknown,0.112208
id_0xFE_gear,gear_engaged,Obfuscated,True,gear_engaged,18.267707,True,gear_engaged,0.471172,True,gear_engaged,0.101503
max_v_ms,speed,Compound,False,tyre_pressure,17.502093,False,oil_pressure_psi,0.503342,False,unknown,0.094712
