drifted,expected,type,bert_correct,bert_result,bert_latency_ms,leven_correct,leven_result,leven_latency_ms,regex_correct,regex_result,regex_latency_ms
max_v_ms,speed,Compound,False,tyre_pressure,9.331824,False,oil_pressure_psi,0.339944,False,unknown,0.066447
speeed_kph,speed,Typo,False,ecu_canbus,9.421361,True,speed,0.369072,True,speed,0.068854
r.p.m,rpm,Typo,False,gear_engaged,9.838981,True,rpm,0.26799,False,unknown,0.070831
throtel,throttle,Typo,True,throttle,9.637467,True,throttle,0.346504,False,unknown,0.069421
brk_tmp,brake_temp,Typo,True,brake_temp,9.126862,True,brake_temp,0.345832,False,unknown,0.065511
eng_tmp,engine_temp,Typo,True,engine_temp,8.349893,True,engine_temp,0.303803,False,unknown,0.062125
vel,speed,Abbreviation,False,gear_engaged,8.175415,False,aero_load,0.234731,False,unknown,0.062324
t_press,tyre_pressure,Abbreviation,False,oil_pressure_psi,8.002828,True,tyre_pressure,0.331769,False,unknown,0.063401
st_ang,steering_angle,Abbreviation,False,heart_rate,8.935874,True,steering_angle,0.31323,False,unknown,0.068737
clt_pos,clutch_position,Abbreviation,False,ecu_canbus,9.486793,True,clutch_position,0.345261,False,unknown,0.076506
f_lvl,fuel_level_percent,Abbreviation,False,tyre_pressure,8.326579,True,fuel_level_percent,0.256142,False,unknown,0.062444
rate_of_travel,speed,Synonym,False,heart_rate,8.745194,False,g_force_lateral,0.484318,False,unknown,0.073356
crankshaft_velocity,rpm,Synonym,False,heart_rate,8.857322,False,fuel_level_percent,0.552758,False,speed,0.043431
accelerator_input,throttle,Synonym,False,heart_rate,8.582886,False,coolant_temperature_c,0.50686,False,unknown,0.073581
rotor_temperature,brake_temp,Synonym,True,brake_temp,9.868797,False,oil_temperature_c,0.567847,False,unknown,0.077562
cylinder_head_temp,engine_temp,Synonym,True,engine_temp,10.078962,True,engine_temp,0.548215,False,unknown,0.081018
vertical_aero_dynamic,aero_load,Synonym,True,aero_load,9.972643,True,aero_load,0.639004,True,aero_load,0.069172
rubber_inflation,tyre_pressure,Synonym,True,tyre_pressure,8.173182,False,clutch_position,0.537288,False,unknown,0.067289
cardiac_frequency,heart_rate,Synonym,True,heart_rate,8.653023,False,coolant_temperature_c,0.506507,False,unknown,0.070972
side_g_force,g_force_lateral,Synonym,True,g_force_lateral,8.561,True,g_force_lateral,0.391868,True,g_force_lateral,0.04979
combustible_quantity,fuel_level_percent,Synonym,True,fuel_level_percent,8.163612,False,clutch_position,0.545479,False,unknown,0.068706
f1.car.speed,speed,Namespace,True,speed,8.82224,True,speed,0.40545,True,speed,0.05455
moteur.regime.rpm,rpm,Namespace,True,rpm,9.283529,False,oil_pressure_psi,0.5038,True,rpm,0.070362
freins.temp.avant,brake_temp,Namespace,True,brake_temp,11.422011,False,engine_temp,0.532082,False,unknown,0.086068
pneus.pression.fl,tyre_pressure,Namespace,False,oil_pressure_psi,11.258182,False,brake_pressure_front,0.478369,False,unknown,0.089953
chassis.lateral.g,g_force_lateral,Namespace,True,g_force_lateral,9.55684,True,g_force_lateral,0.490342,True,g_force_lateral,0.050611
id_0x123_spd,speed,Obfuscated,False,ecu_canbus,9.858758,True,speed,0.380143,False,unknown,0.078565
can_msg_revs,rpm,Obfuscated,False,ecu_canbus,11.568694,False,coolant_temperature_c,0.471074,True,rpm,0.081043
sensor_45_throt,throttle,Obfuscated,False,rpm,11.15821,True,throttle,0.494738,False,unknown,0.084714
bit_7_brake,brake_temp,Obfuscated,True,brake_temp,9.227886,True,brake_temp,0.396976,False,unknown,0.072172
analog_oil_p,oil_pressure_psi,Obfuscated,False,oil_temperature_c,8.270701,True,oil_pressure_psi,0.388354,False,unknown,0.067896
speed_knots,speed,Unit Variant,True,speed,8.224787,True,speed,0.382833,True,speed,0.050596
tyre_psi,tyre_pressure,Unit Variant,True,tyre_pressure,8.090403,True,tyre_pressure,0.341414,False,unknown,0.063981
oil_temp_rankine,oil_temperature_c,Unit Variant,True,oil_temperature_c,9.575517,True,oil_temperature_c,0.521853,True,oil_temperature_c,0.049626
coolant_temp_celsius,coolant_temperature_c,Unit Variant,True,coolant_temperature_c,11.665054,True,coolant_temperature_c,0.584511,True,coolant_temperature_c,0.063151
fuel_liters,fuel_level_percent,Unit Variant,True,fuel_level_percent,9.307449,True,fuel_level_percent,0.44059,True,fuel_level_percent,0.064213
temperature_brake,brake_temp,Reorder,True,brake_temp,8.118457,False,oil_temperature_c,0.460078,False,unknown,0.066855
pressure_oil,oil_pressure_psi,Reorder,True,oil_pressure_psi,8.627489,True,oil_pressure_psi,0.411042,False,unknown,0.070143
force_g_side,g_force_lateral,Reorder,True,g_force_lateral,8.118807,True,g_force_lateral,0.452756,False,unknown,0.065067
rate_heart,heart_rate,Reorder,True,heart_rate,7.825483,True,heart_rate,0.398993,True,heart_rate,0.050953
v_max_units_mph,speed,Compound,True,speed,9.733085,False,brake_temp,0.493057,True,speed,0.071064
